0,1,2
446645.0,152125.19631883796,234169.76076887228
446646.372,152125.8354054448,234170.9748360868
446648.372,152126.76637477602,234172.74495003783
446650.372,152127.6967,234174.5154
446652.372,152128.62638084948,234176.28618547868
446654.372,152129.5554172236,234178.05730663863
446656.372,152130.48380906327,234179.82876380955
446658.372,152131.41155630915,234181.60055732095
446660.372,152132.33865890207,234183.37268750265
446662.372,152133.2651167828,234185.14515468405
446664.372,152134.1909298922,234186.91795919483
446666.372,152135.116098171,234188.6911013647
446668.372,152136.04062156,234190.4645815232
446670.372,152136.9645,234192.2384
446672.372,152137.88773343258,234194.0125569599
446674.372,152138.81032180265,234195.78705190856
446676.372,152139.732265056,234197.5618841869
446678.372,152140.65356313824,234199.3370531357
446680.372,152141.57421599515,234201.1125580961
446682.372,152142.49422357246,234202.8883984087
446684.372,152143.41358581587,234204.6645734145
446686.372,152144.3323026711,234206.4410824544
446688.372,152145.2503740839,234208.2179248693
446690.372,152146.1678,234209.9951
446692.372,152147.08458032014,234211.77260728175
446694.372,152148.00071476566,234213.55044652717
446696.372,152148.9162030128,234215.3286176429
446698.372,152149.83104473792,234217.10712053595
446700.372,152150.7452396173,234218.88595511307
446702.372,152151.65878732732,234220.6651212812
446704.372,152152.57168754426,234222.4446189471
446706.372,152153.4839399445,234224.22444801763
446708.372,152154.39554420428,234226.00460839967
446710.372,152155.3065,234227.7851
446712.372,152156.21680708672,234229.565922713
446714.372,152157.12646553465,234231.34707638292
446716.372,152158.0354754928,234233.1285608415
446718.372,152158.94383711013,234234.91037592044
446720.372,152159.85155053562,234236.69252145156
446722.372,152160.75861591822,234238.4749972665
446724.372,152161.66503340704,234240.2578031972
446726.372,152162.5708031509,234242.0409390751
446728.372,152163.47592529893,234243.8244047321
446730.372,152164.3804,234245.6082
446732.372,152165.28422733294,234247.39232466617
446734.372,152166.18740709568,234249.1767783412
446736.372,152167.089939016,234250.96156059107
446738.372,152167.99182282158,234252.74667098216
446740.372,152168.89305824024,234254.53210908067
446742.372,152169.79364499965,234256.31787445265
446744.372,152170.69358282755,234258.1039666644
446746.372,152171.59287145184,234259.89038528205
446748.372,152172.49151060003,234261.67712987185
446750.372,152173.3895,234263.4642
446752.372,152174.2868393815,234265.2515953222
446754.372,152175.18352848256,234267.0393158524
446756.372,152176.0795670432,234268.82736169407
446758.372,152176.97495480347,234270.61573295077
446760.372,152177.8696915034,234272.40442972584
446762.372,152178.76377688308,234274.19345212285
446764.372,152179.65721068255,234275.9828002453
446766.372,152180.5499926418,234277.77247419668
446768.372,152181.44212250097,234279.5624740804
446770.372,152182.3336,234281.3528
446772.372,152183.22442494103,234283.143451945
446774.372,152184.11459737405,234284.93442944923
446776.372,152185.0041174112,234286.7257319326
446778.372,152185.89298516454,234288.5173588149
446780.372,152186.78120074607,234290.309309516
446782.372,152187.66876426796,234292.10158345583
446784.372,152188.55567584222,234293.89418005437
446786.372,152189.44193558092,234295.68709873123
446788.372,152190.32754359618,234297.4803389065
446790.372,152191.2125,234299.2739
446792.372,152192.09680485443,234301.06778149772
446794.372,152192.98045802122,234302.86198315065
446796.372,152193.863459312,234304.65650477563
446798.372,152194.7458085385,234306.4513461898
446800.372,152195.6275055123,234308.24650721013
446802.372,152196.50855004514,234310.04198765365
446804.372,152197.38894194865,234311.83778733737
446806.372,152198.26868103453,234313.63390607832
446808.372,152199.1477671144,234315.43034369356
446810.372,152200.0262,234317.2271
446812.372,152200.9039795412,234319.02417486397
446814.372,152201.78110574104,234320.82156834815
446816.372,152202.6575786407,234322.61928056483
446818.372,152203.53339828152,234324.4173116259
446820.372,152204.4085647047,234326.21566164348
446822.372,152205.2830779515,234328.01433072955
446824.372,152206.15693806318,234329.8133189962
446826.372,152207.030145081,234331.6126265555
446828.372,152207.9026990462,234333.41225351935
446830.372,152208.7746,234335.2122
446832.372,152209.64584788075,234337.0124659465
446834.372,152210.5164422147,234338.81305065655
446836.372,152211.38638242512,234340.61395326495
446838.372,152212.25566793542,234342.4151729065
446840.372,152213.1242981689,234344.21670871595
446842.372,152213.99227254887,234346.0185598281
446844.372,152214.8595904986,234347.82072537785
446846.372,152215.72625144152,234349.62320449983
446848.372,152216.59225480087,234351.425996329
446850.372,152217.4576,234353.2291
446852.372,152218.3222866359,234355.03251485003
446854.372,152219.18631500032,234356.8362410256
446856.372,152220.04968555883,234358.64027887533
446858.372,152220.9123987768,234360.4446287481
446860.372,152221.7744551197,234362.2492909927
446862.372,152222.63585505306,234364.05426595788
446864.372,152223.49659904226,234365.8595539924
446866.372,152224.35668755288,234367.66515544508
446868.372,152225.21612105033,234369.47107066476
446870.372,152226.0749,234371.2773
446872.372,152226.9330246757,234373.0838436533
446874.372,152227.79049458395,234374.8907012412
446876.372,152228.6473090396,234376.69787223372
446878.372,152229.5034673574,234378.50535610103
446880.372,152230.35896885223,234380.3131523132
446882.372,152231.2138128389,234382.12126034035
446884.372,152232.06799863218,234383.9296796524
446886.372,152232.92152554696,234385.7384097197
446888.372,152233.77439289793,234387.54745001215
446890.372,152234.6266,234389.3568
446892.372,152235.47814636133,234391.16645923667
446894.372,152236.32903226386,234392.9764276096
446896.372,152237.17925818285,234394.78670508967
446898.372,152238.02882459355,234396.5972916477
446900.372,152238.87773197127,234398.40818725448
446902.372,152239.7259807913,234400.2193918809
446904.372,152240.5735715289,234402.03090549784
446906.372,152241.42050465936,234403.8427280761
446908.372,152242.26678065798,234405.65485958653
446910.372,152243.1124,234407.4673
446912.372,152243.9573629789,234409.2800491999
446914.372,152244.80166916054,234411.09310672028
446916.372,152245.645317929,234412.90647200748
446918.372,152246.48830866837,234414.72014450817
446920.372,152247.33064076264,234416.53412366883
446922.372,152248.17231359592,234418.348408936
446924.372,152249.01332655223,234420.1629997561
446926.372,152249.85367901565,234421.97789557584
446928.372,152250.6933703702,234423.79309584163
446930.372,152251.5324,234425.6086
446932.372,152252.3707674231,234427.4244075636
446934.372,152253.20847269398,234429.24051830932
446936.372,152254.0455160011,234431.05693208036
446938.372,152254.88189753296,234432.8736487196
446940.372,152255.7176174781,234434.6906680702
446942.372,152256.552676025,234436.5079899752
446944.372,152257.38707336213,234438.3256142776
446946.372,152258.22080967805,234440.1435408205
446948.372,152259.05388516115,234441.96176944696
446950.372,152259.8863,234443.7803
446952.372,152260.71805432867,234445.59913234576
446954.372,152261.54914806358,234447.41826644243
446956.372,152262.3795810666,234449.23770227123
446958.372,152263.20935319972,234451.0574398135
446960.372,152264.03846432487,234452.87747905048
446962.372,152264.86691430406,234454.69781996345
446964.372,152265.6947029992,234456.5184625336
446966.372,152266.52183027228,234458.33940674225
446968.372,152267.34829598526,234460.16065257057
446970.372,152268.1741,234461.9822
446972.372,152268.9992421622,234463.80404895343
446974.372,152269.8237222518,234465.62619912103
446976.372,152270.6475400326,234467.4486501348
446978.372,152271.47069526828,234469.2714016264
446980.372,152272.2931877224,234471.09445322797
446982.372,152273.11501715877,234472.9178045712
446984.372,152273.93618334105,234474.7414552881
446986.372,152274.75668603287,234476.56540501068
446988.372,152275.57652499794,234478.38965337063
446990.372,152276.3957,234480.2142
446991.0,152276.65271239833,234480.78720118574
